grandparent,joint,child,depth,root_distance_px,distance_zone,n_frames,rest_angle_deg,angle_mean_deg,angle_std_deg,angle_range_deg,angle_rms_delta_deg,angle_mean_abs_delta_deg,n_inlier_frames,filtered_angle_std_deg,filtered_angle_rms_delta_deg,filtered_angle_mean_abs_delta_deg,filtered_angle_rms_ci_low,filtered_angle_rms_ci_high
11,10,9,2,36.75608639411282,proximal,1028,167.81046759764615,166.5014439065564,1.272646290949083,7.041649513451148,1.825697566877014,1.413338979674665,1028,1.272646290949083,1.825697566877014,1.413338979674665,1.513056716384931,2.152566280545651
10,9,8,3,57.57245249156948,proximal,1019,153.4511571640834,154.70740616430066,0.776777763647166,3.964033497501788,1.4770054991920725,1.2973553440776182,1019,0.776777763647166,1.4770054991920725,1.2973553440776182,1.2691241102081177,1.6273534168727177
9,8,7,4,71.10362218497373,proximal,1081,164.6552975536892,165.53493867382798,1.0901212359196717,7.514102207153712,1.400761510479933,1.0910623432193376,1078,1.0709488122657156,1.378849237107248,1.080510520818609,1.1722019321210027,1.5885540997856487
8,7,6,5,86.90769627504677,proximal,1080,133.4925557621542,132.787287558138,1.3439641261659367,8.455327489600165,1.5177756131975617,1.2041697707060006,1069,1.2838093267992865,1.458788306409568,1.1719884639820992,1.271797174434958,1.7066415459290019
7,6,5,6,112.63478821959147,proximal,1099,161.7376511117453,159.85197103575464,1.6321840956724538,10.411005326589617,2.4939555471488037,2.0720785524841405,1094,1.5957487939866895,2.451768654514439,2.048635712379058,2.072763836128694,2.7727208006518334
6,5,4,7,126.5384953583168,mid,1102,89.42618844938215,91.10904086376348,1.688526108155693,7.600597890674919,2.3839279910501676,1.8654816215619232,1102,1.688526108155693,2.3839279910501676,1.8654816215619232,2.0787352535821277,2.7129958450489546
5,4,3,8,147.74248672692784,mid,1104,179.1215362400479,179.0704704393013,0.7503094954000518,4.693241241232357,0.7520452479029237,0.5631609445929733,1084,0.6556163120326685,0.655618190018474,0.5231126227736894,0.570108147662419,0.7471736571116501
4,3,2,9,178.862339885508,mid,1104,153.33784556055977,153.58298975539344,0.6008791919845669,3.1360502787288738,0.6489618475847917,0.5365118708764944,1104,0.6008791919845669,0.6489618475847917,0.5365118708764944,0.5516281161215089,0.7164383316189987
3,2,1,10,198.0050669173972,mid,1087,171.4109200078915,170.77464605481256,0.6944921259088406,3.950838373967059,0.9418937606312525,0.7153693905311215,1033,0.5613645622856851,0.778346547023026,0.6223898395523829,0.6659059004303592,0.9016846343181617
2,1,0,11,214.87331997579648,mid,1043,166.59862997379852,166.16911771573245,1.205579618054786,7.077565846844948,1.2798058428129402,0.9176554481896777,1009,1.062719308131957,1.10981984149349,0.8244791127960439,0.8974128942871522,1.2455614005447486
1,0,12,12,226.22659111726824,mid,993,176.6765999446034,178.12677119280707,1.5061933382819075,10.599280499268701,2.0908407451074362,1.6972989258458053,983,1.282931611012321,1.997089129927974,1.6489822654400825,1.7750531384361103,2.2211878536524607
0,12,13,13,242.83530769397348,distal,988,151.8093079981706,151.65241304669104,1.95817811866042,16.408654613882106,1.9644535042093088,1.3447474714144592,948,1.5479223934623403,1.5501781988147845,1.1458396423828543,1.3212993658399157,1.7860574113987946
12,13,14,14,264.5669634496593,distal,961,166.39092466939525,168.76065196660628,1.945380016181127,8.62681757367767,3.065960024283398,2.481506806709983,961,1.945380016181127,3.065960024283398,2.481506806709983,2.583995863021597,3.5262896250372617
13,14,15,15,285.06152809344434,distal,1003,179.8957208259399,179.13191369670028,0.9385690948736248,8.731427061586771,1.2100881275878739,0.7803258843787254,965,0.6793965569767241,0.9359646227830145,0.6609472192268966,0.7987131498383718,1.0879621671963438
14,15,16,16,305.38012637795015,distal,989,165.79213940384182,165.2698961894367,0.8233455986965942,7.903814789933875,0.975005615309597,0.717669750859655,983,0.7810858909901957,0.932189270872685,0.6992535208843457,0.7795777917502523,1.0505279004513624
15,16,17,17,334.5495654187351,distal,1044,175.39916689456294,175.984174745683,1.0322310906416445,6.75838323840739,1.1864801769769893,0.8267402014273548,1015,0.9117529393155714,1.0426000886199513,0.7495108350265118,0.8759604377280071,1.183568754098102
16,17,18,18,348.7064733802514,distal,1048,160.3596423984023,158.14752006183627,1.6575486535001451,9.736128955475778,2.764227337006556,2.2273751158216255,1045,1.6203454208957015,2.726564337356312,2.2081562987962933,2.427493461291208,3.0482280130027117
17,18,19,19,362.1766119671544,distal,1072,168.65527777988444,168.43996507637686,1.462490428423836,9.032094446119459,1.4782549893448949,1.0762471467978807,1044,1.3205942315749641,1.352941964810322,1.0001190805162263,1.1405924212013394,1.5507176065536514
