parent,child,depth,root_distance_px,distance_zone,n_frames,rest_length_px,length_mean_px,length_std_px,length_cv,length_cv_ci_low,length_cv_ci_high,length_range_px,motion_gain_proxy,child_rel_motion_rms_px,parent_rel_motion_rms_px,angle_rms_delta_deg,angle_std_deg,angle_compliance_proxy,filtered_angle_rms_delta_deg,filtered_angle_std_deg,filtered_angle_compliance_proxy,motion_per_root_distance,filtered_angle_per_length,filtered_angle_per_root_distance,motion_per_root_distance_ci_low,motion_per_root_distance_ci_high,filtered_angle_per_length_ci_low,filtered_angle_per_length_ci_high,filtered_angle_per_root_distance_ci_low,filtered_angle_per_root_distance_ci_high,relative_compliance_kappa,relative_compliance_ci_low,relative_compliance_ci_high,relative_stiffness_inv_kappa,relative_stiffness_ci_low,relative_stiffness_ci_high,compliance_fit_rmse_deg,compliance_fit_r2,compliance_support_ratio,compliance_n_frames,excitation_rms_deg
11,10,1,18.163713828948516,proximal,1029,18.163713828948516,17.79227779632991,0.4454940007514699,0.025038615395459027,,,3.4608340775126347,inf,0.6919897045978489,0.0,,,,,,,,,,0.03425332354409086,0.04180928753631921,,,,,,,,,,,,,,,
10,9,2,36.75608639411282,proximal,1038,18.592372565164304,19.515628999126868,0.783184524727108,0.04013114436445516,,,4.328558879411965,2.4495350658173893,1.6950530465970477,0.6919897045978489,1.825697566877014,1.272646290949083,1.825697566877014,1.825697566877014,1.272646290949083,1.825697566877014,0.04611625482707926,0.09819605112140135,0.04967061909968287,0.03968839601020485,0.05063098237909112,0.08138050757544939,0.11577684736045027,0.04116479377486923,0.05856353305585942,1.3953362129182403,1.190721687565862,1.5991973049657362,0.7166731507014897,0.6253137101312372,0.8398268129677342,0.8137589001010666,0.5042067477376697,0.9311594202898551,1028.0,1.1838132652240962
9,8,3,57.57245249156948,proximal,1084,20.816366097456662,21.83050796740893,0.720561009051277,0.033007065622431345,,,4.1411567279391726,1.634779199819129,2.7710374631668984,1.6950530465970477,1.4770054991920725,0.776777763647166,1.4770054991920725,1.4770054991920725,0.776777763647166,1.4770054991920725,0.04813130834703751,0.0709540508788675,0.02565472609332311,0.042602726328300054,0.05313929982905804,0.0609676109781322,0.07817663319591345,0.02204394732696092,0.02826618194024332,1.1103584105169984,0.9604092149378443,1.2340452360527037,0.9006101007821304,0.8103430658657734,1.0412228292340135,0.6971701178965871,0.024815060810517098,0.9230072463768116,1019.0,1.1838132652240962
8,7,4,71.10362218497373,proximal,1082,13.531169693404248,12.70734282685764,0.7392774933548328,0.05817718963183482,,,4.198583557319589,0.7764164826442217,2.15147916042741,2.7710374631668984,1.400761510479933,1.0901212359196717,1.400761510479933,1.378849237107248,1.0709488122657156,1.378849237107248,0.030258362293138993,0.10190170313061453,0.019392109638524703,0.026256790812492686,0.03362189909273067,0.08662975623551533,0.11739961405997203,0.01648582584262104,0.022341394868085306,0.9806957042149455,0.8398002113482732,1.140183779968322,1.0196842870852665,0.8770515925316734,1.1907594050191188,0.7505482661673227,0.23223983892573363,0.9764492753623188,1078.0,1.1838132652240962
7,6,5,86.90769627504677,proximal,1099,15.804074090073042,15.322826073985132,0.47069959169326153,0.030718849735716074,,,3.162297668592146,0.8730509088735305,1.8783508364336108,2.15147916042741,1.5177756131975617,1.3439641261659367,1.5177756131975617,1.458788306409568,1.2838093267992865,1.458788306409568,0.021613170259271147,0.09230457273835938,0.016785490456366178,0.01927786553944939,0.023880927806923424,0.08047274185039462,0.1079874427443357,0.014633884327228688,0.01963740403988845,0.9349623623491878,0.7850335674963984,1.1071548794069617,1.0695617709010217,0.9032159985923937,1.27383087985545,0.9557127934460582,-0.21057553400916085,0.9682971014492754,1069.0,1.1838132652240962
6,5,6,112.63478821959147,proximal,1102,25.727091944544693,25.826992122589793,0.5885513478722202,0.022788226560747617,,,3.2288029342730624,1.0249792571830079,1.925270645056804,1.8783508364336108,2.4939555471488037,1.6321840956724538,2.4939555471488037,2.451768654514439,1.5957487939866895,2.451768654514439,0.017093037377611246,0.0952990979236705,0.021767419225173126,0.015174379762609358,0.019405868423512055,0.08056735835502052,0.10777435734394285,0.01840251905199713,0.02461691316226537,1.79030573984438,1.5443891478040808,2.0583474647607103,0.5585638127300668,0.4858266240856732,0.6475051973926838,1.228054170788419,0.16874317648007842,0.9909420289855072,1094.0,1.1838132652240962
5,4,7,126.5384953583168,mid,1104,13.903707138725323,14.340211828212162,0.3549643054331394,0.024753072666249022,,,1.5209248547734617,1.201198069030859,2.3126313812040293,1.925270645056804,2.3839279910501676,1.688526108155693,2.3839279910501676,2.3839279910501676,1.688526108155693,2.3839279910501676,0.018276109374110956,0.17145988240865115,0.018839547477624428,0.016257821235855827,0.020435585890318658,0.14950942456147734,0.19512751656661254,0.01642769062249247,0.021440083014790185,1.7459422603391712,1.5295100403266184,2.03957455166627,0.5727566270179734,0.49029833167070586,0.6538041422640518,1.186423758589085,0.36107889151728767,0.9981884057971014,1102.0,1.1838132652240962
4,3,8,147.74248672692784,mid,1104,21.203991368611057,21.27472926179999,0.4230938344391932,0.01988715481324045,,,2.5770053312052283,1.0666043552315023,2.4666627032372626,2.3126313812040293,0.7520452479029237,0.7503094954000518,0.7520452479029237,0.655618190018474,0.6556163120326685,0.655618190018474,0.016695689627834617,0.03091956503005403,0.004437573811995272,0.014890058490270345,0.018938813560258005,0.026886831717276034,0.03523740620917791,0.003858796208812627,0.0050572700762283075,0.4518923368527649,0.39485861166211444,0.5078917561462938,2.2129164813118285,1.968923472173781,2.5325520843792884,0.39252965953756613,0.013502036188745348,0.9818840579710145,1084.0,1.1838132652240962
3,2,9,178.862339885508,mid,1104,31.11985315858016,30.03755623453889,0.9058150427810491,0.030156083128343558,,,4.806934739574228,1.1359924957059326,2.80211032031524,2.4666627032372626,0.6489618475847917,0.6008791919845669,0.6489618475847917,0.6489618475847917,0.6008791919845669,0.6489618475847917,0.015666295778691622,0.020853628205693003,0.0036282755106536134,0.013662010695712375,0.017602768213352018,0.017725922847724545,0.02302190591864882,0.003084093143780926,0.004005529235934182,0.3505465613534191,0.30128194966323024,0.4116203666254257,2.8526880883929295,2.4294230341376655,3.3191500556797027,0.5046900013880593,-0.9107246288136663,1.0,1104.0,1.1838132652240962
2,1,10,198.0050669173972,mid,1087,19.142727031889194,18.61553931915521,0.8784246254329726,0.04718770755833446,,,7.043134554215047,1.2142958815271054,3.4025910215433943,2.80211032031524,0.9418937606312525,0.6944921259088406,0.9418937606312525,0.778346547023026,0.5613645622856851,0.778346547023026,0.01718436338279601,0.040660170608210935,0.003930942572028891,0.014975519576906623,0.019374885814533893,0.03478636556437597,0.04710324881173289,0.003363075050539786,0.004553846264420709,0.5442658547836386,0.4705334608436194,0.6420422870542539,1.8373373806400712,1.557529807869957,2.1252473696707987,0.4679071267189653,-0.0022102769031973057,0.9356884057971014,1033.0,1.1838132652240962
1,0,11,214.87331997579648,mid,1043,16.86825305839929,17.27332513765569,0.9596394560928677,0.055556150795822316,,,6.132452149250698,1.0086531447301295,3.4320341341102485,3.4025910215433943,1.2798058428129402,1.205579618054786,1.2798058428129402,1.10981984149349,1.062719308131957,1.10981984149349,0.015972360526178103,0.06579340715669854,0.0051649960154127135,0.01362590103061759,0.01822570647882055,0.053201294240739355,0.07384056880297632,0.004176474279767435,0.005796724324290469,0.797963627729153,0.692211773036296,0.9116664202752587,1.2531899515843883,1.096892435391084,1.4446446000385567,0.6407754586015153,0.2560831817649327,0.9139492753623188,1009.0,1.1838132652240962
0,12,12,226.22659111726824,mid,996,11.353271141471756,11.929695217553043,0.9865664068797746,0.08269837484432682,,,6.954447426035628,0.9130479294298399,3.133611659881896,3.4320341341102485,2.0908407451074362,1.5061933382819075,2.0908407451074362,1.997089129927974,1.282931611012321,1.997089129927974,0.013851650437757502,0.17590429269613003,0.008827826649665381,0.011743441637342287,0.016009890668558034,0.1563472867262118,0.19564298482565104,0.00784635055352968,0.009818420737733133,1.6353675208018665,1.4901467906492751,1.8063769349187873,0.6114833438233334,0.5535943139381144,0.6710748271747696,0.7083682650078665,0.6046511889551995,0.8903985507246377,983.0,1.1838132652240962
12,13,13,242.83530769397348,distal,1013,16.608716576705245,17.198161383059073,1.2461763938777082,0.07245986161667523,,,7.8973319199606244,1.0628341007978583,3.330509330780259,3.133611659881896,1.9644535042093088,1.95817811866042,1.9644535042093088,1.5501781988147845,1.5479223934623403,1.5501781988147845,0.013715095067548587,0.09333521898910634,0.006383660652710165,0.010976756949699611,0.016504390908936104,0.07955457363232508,0.10753735263950803,0.005441133657157661,0.0073550153326534555,1.1281082097438153,0.9963142247583903,1.2742456474768722,0.8864397859732731,0.7847780386616154,1.003699410437007,0.8761721055530576,0.2957758293773022,0.8586956521739131,948.0,1.1838132652240962
13,14,14,264.5669634496593,distal,1006,21.731655755685825,22.177907902365234,1.02291630236032,0.0461232099467429,,,11.212836220826176,1.195077694851408,3.980217413709977,3.330509330780259,3.065960024283398,1.945380016181127,3.065960024283398,3.065960024283398,1.945380016181127,3.065960024283398,0.015044272201685213,0.14108267031062402,0.011588597398203787,0.011564941094148998,0.018364753532563168,0.1189046933225751,0.16226511521629688,0.00976688785829176,0.01332853346108812,2.5433168630465812,2.302678187257937,2.781026195514387,0.39318734308320624,0.35957949681054224,0.4342769239460312,0.955053558404087,0.7186732779139733,0.8704710144927537,961.0,1.1838132652240962
