grandparent,joint,child,depth,root_distance_px,distance_zone,filtered_angle_rms_delta_deg_raw,filtered_angle_std_deg_raw,filtered_angle_rms_delta_deg_smoothed,filtered_angle_std_deg_smoothed
0,12,13,13,242.83530769397348,distal,,,1.5501781988147845,1.5479223934623403
0,12,13,13,242.87757469158285,distal,2.603550894468882,2.558324318821872,,
1,0,12,12,226.22659111726824,mid,,,1.997089129927974,1.282931611012321
1,0,12,12,226.26614624725272,mid,1.6667209524036313,1.562756169244772,,
2,1,0,11,214.87331997579648,mid,,,1.10981984149349,1.062719308131957
2,1,0,11,214.89943625157667,mid,1.8973046235380893,1.8738171499545953,,
3,2,1,10,198.0050669173972,mid,,,0.778346547023026,0.5613645622856851
3,2,1,10,198.02855289173164,mid,1.3550179795355866,1.176994090629488,,
4,3,2,9,178.862339885508,mid,,,0.6489618475847917,0.6008791919845669
4,3,2,9,178.88361325103236,mid,1.612444779464438,0.7599221775205938,,
5,4,3,8,147.74248672692784,mid,,,0.655618190018474,0.6556163120326685
5,4,3,8,147.76024182075815,mid,0.9473017265237847,0.9281711895328342,,
6,5,4,7,126.5384953583168,mid,,,2.3839279910501676,1.688526108155693
6,5,4,7,126.5574309427797,mid,3.417413409082538,2.1142908856437796,,
7,6,5,6,112.63478821959147,proximal,,,2.451768654514439,1.5957487939866895
7,6,5,6,112.65708398475448,proximal,4.3304506800837945,3.0907703507685484,,
8,7,6,5,86.90769627504677,proximal,,,1.458788306409568,1.2838093267992865
8,7,6,5,86.92828345941624,proximal,2.442814889235745,2.2946416601965596,,
9,8,7,4,71.10362218497373,proximal,,,1.378849237107248,1.0709488122657156
9,8,7,4,71.10953637911372,proximal,2.302378755346668,1.983752105505555,,
10,9,8,3,57.567527024324534,proximal,1.7818367986641577,1.4944117212637489,,
10,9,8,3,57.57245249156948,proximal,,,1.4770054991920725,0.776777763647166
11,10,9,2,36.75268916104776,proximal,3.6178670182862445,2.839756991866869,,
11,10,9,2,36.75608639411282,proximal,,,1.825697566877014,1.272646290949083
12,13,14,14,264.5669634496593,distal,,,3.065960024283398,1.945380016181127
12,13,14,14,264.60321718091114,distal,4.740253173562627,3.0612262248611395,,
13,14,15,15,285.06152809344434,distal,,,0.9359646227830145,0.6793965569767241
13,14,15,15,285.0878732949695,distal,1.9119727082517348,1.3219894641184138,,
14,15,16,16,305.38012637795015,distal,,,0.932189270872685,0.7810858909901957
14,15,16,16,305.40603408379826,distal,2.57927908947856,1.9407854222911791,,
15,16,17,17,334.5495654187351,distal,,,1.0426000886199513,0.9117529393155714
15,16,17,17,334.579554159662,distal,2.1371400476580353,1.7220471705836162,,
16,17,18,18,348.7064733802514,distal,,,2.726564337356312,1.6203454208957015
16,17,18,18,348.7395475275835,distal,3.7348955013806524,2.412731028699023,,
17,18,19,19,362.1766119671544,distal,,,1.352941964810322,1.3205942315749641
17,18,19,19,362.21024882511523,distal,2.518304207900503,2.2543029773844507,,
