parent,child,depth,root_distance_px,distance_zone,length_cv_raw,length_std_px_raw,length_cv_smoothed,length_std_px_smoothed
0,12,12,226.22659111726824,mid,,,0.08269837484432682,0.9865664068797746
0,12,12,226.26614624725272,mid,0.12770358382315367,1.5121081489785655,,
1,0,11,214.87331997579648,mid,,,0.055556150795822316,0.9596394560928677
1,0,11,214.89943625157667,mid,0.09665541108987222,1.696091724614419,,
2,1,10,198.0050669173972,mid,,,0.04718770755833446,0.8784246254329726
2,1,10,198.02855289173164,mid,0.07456195904555274,1.377099491111723,,
3,2,9,178.862339885508,mid,,,0.030156083128343558,0.9058150427810491
3,2,9,178.88361325103236,mid,0.04718119930909336,1.380684266826701,,
4,3,8,147.74248672692784,mid,,,0.01988715481324045,0.4230938344391932
4,3,8,147.76024182075815,mid,0.0281604426449513,0.6072622773754621,,
5,4,7,126.5384953583168,mid,,,0.024753072666249022,0.3549643054331394
5,4,7,126.5574309427797,mid,0.033633112001895386,0.4868120739422171,,
6,5,6,112.63478821959147,proximal,,,0.022788226560747617,0.5885513478722202
6,5,6,112.65708398475448,proximal,0.04047742267161203,1.0565304888552707,,
7,6,5,86.90769627504677,proximal,,,0.030718849735716074,0.47069959169326153
7,6,5,86.92828345941624,proximal,0.05764041320814365,0.8740271934460929,,
8,7,4,71.10362218497373,proximal,,,0.05817718963183482,0.7392774933548328
8,7,4,71.10953637911372,proximal,0.11341657955485385,1.3258456739689561,,
9,8,3,57.567527024324534,proximal,0.055306463636381795,1.2507460657816405,,
9,8,3,57.57245249156948,proximal,,,0.033007065622431345,0.720561009051277
10,9,2,36.75268916104776,proximal,0.0678469915280115,1.367224433057577,,
10,9,2,36.75608639411282,proximal,,,0.04013114436445516,0.783184524727108
11,10,1,18.163411181277645,proximal,0.04630622484902687,0.7929461474064147,,
11,10,1,18.163713828948516,proximal,,,0.025038615395459027,0.4454940007514699
12,13,13,242.83530769397348,distal,,,0.07245986161667523,1.2461763938777082
12,13,13,242.87757469158285,distal,0.10596392094663429,1.8562618134926523,,
13,14,14,264.5669634496593,distal,,,0.0461232099467429,1.02291630236032
13,14,14,264.60321718091114,distal,0.07176274463193451,1.5770523911869343,,
14,15,15,285.06152809344434,distal,,,0.03302980149648276,0.6962427728085968
14,15,15,285.0878732949695,distal,0.057592225590535076,1.2222483877507453,,
15,16,16,305.38012637795015,distal,,,0.035654260622284856,0.7448706356991938
15,16,16,305.40603408379826,distal,0.061009403648781796,1.3043667459772144,,
16,17,17,334.5495654187351,distal,,,0.025959101402686903,0.7430849771855021
16,17,17,334.579554159662,distal,0.04449387404965546,1.2453265236512006,,
17,18,18,348.7064733802514,distal,,,0.040242936273441506,0.568555287152062
17,18,18,348.7395475275835,distal,0.052982645823678905,0.7543574982953937,,
18,19,19,362.1766119671544,distal,,,0.03269085974294286,0.44797229331856037
18,19,19,362.21024882511523,distal,0.050956464329773694,0.7078395885350198,,
