parent,child,depth,root_distance_px,distance_zone,n_frames,rest_length_px,length_mean_px,length_std_px,length_cv,length_cv_ci_low,length_cv_ci_high,length_range_px,motion_gain_proxy,child_rel_motion_rms_px,parent_rel_motion_rms_px
24,23,1,13.820121924908689,proximal,590,13.820121924908689,14.35913846340973,0.23227334413836925,0.016175994453306045,0.011921532132311145,0.019795469941866723,1.4674644310413338,inf,1.0285110943686377,0.0
23,22,2,33.33235535194282,proximal,590,19.512233427034133,19.26140492183981,0.4355864819086646,0.022614470942084235,0.011494152883265421,0.03322505793131693,3.121226679283428,0.8791998929045544,0.9042668440200523,1.0285110943686377
22,21,3,55.94022572582599,proximal,590,22.607870373883166,22.28409613273078,0.29148586073299165,0.013080443514370705,0.01044565896365154,0.015925313262199293,1.8878439839185432,0.7020434691749289,0.6348346322357018,0.9042668440200523
21,20,4,75.56583630904696,proximal,590,19.62561058322097,20.260876646324558,0.39008189352116684,0.0192529622646871,0.013321050943698372,0.02436339269318028,1.972988152943639,1.3442410417786872,0.8533707673937095,0.6348346322357018
20,19,5,114.78967088223561,proximal,590,39.22383457318866,39.12811901848009,0.20737383404862866,0.005299867186324153,0.0039659400299863826,0.006443541239961774,1.2827494596998008,0.9104195934447842,0.7769254671082445,0.8533707673937095
19,18,6,129.13207338982392,proximal,590,14.342402507588316,14.551125107850261,0.1431666434123782,0.009838871039266957,0.00786486752092373,0.011158055830139452,0.8058479816526489,1.26863550235622,0.9856352302582086,0.7769254671082445
18,17,7,137.24939882027596,proximal,590,8.117325430452029,8.001039781975786,0.13495416235718963,0.016867078034183188,0.014042616401613634,0.019416131203152748,0.6520654045553158,0.728112065998759,0.7176529038244668,0.9856352302582086
17,16,8,152.8533650991397,mid,590,15.603966278863727,15.638441811135056,0.20692467239383003,0.013231796037792795,0.01036385713819655,0.015135148976175891,1.0783348463015816,1.1353525364493222,0.8147890446473298,0.7176529038244668
16,15,9,171.38313124545132,mid,428,18.529766146311637,18.066112390934688,0.47535097882438054,0.026311747017742717,0.016009626109515413,0.034230963336390564,2.9655593517953527,1.1096558154243772,0.904135401736982,0.8147890446473298
15,14,10,185.42056978037976,mid,428,14.037438534928437,13.599675158470315,0.6070458291932628,0.04463678890265074,0.026330749990404533,0.05634192901304943,2.618023518536752,2.5442702408546314,2.30036479634255,0.904135401736982
14,13,11,208.4475050400764,mid,590,23.026935259696632,23.17762857617674,0.473506960494212,0.020429482633995993,0.011399567193842157,0.029016205967228863,3.2714810610203386,1.4969811591080755,3.443602759200283,2.30036479634255
13,12,12,221.5003262140597,mid,590,13.052821173983281,13.416160469095395,0.5138762570073889,0.038302781052084255,0.033260253480379774,0.0427025110895311,2.8223324457630454,1.397396650458222,4.812078961215167,3.443602759200283
12,11,13,238.95665370876443,mid,590,17.45632749470474,17.459261268953874,0.5323580274849348,0.030491440576101342,0.02151045001158504,0.038279459834203194,3.822952206645285,1.1951795274355932,5.751298258847903,4.812078961215167
11,10,14,256.9435401213235,mid,570,17.9868864125591,18.305204075713252,0.9454537668171795,0.05164945241291118,0.031963932465895344,0.07024829947557262,8.008531277146606,1.0268665084142026,5.905815561911829,5.751298258847903
10,9,15,274.8492702350357,mid,539,17.9057301137122,19.36903093307456,2.2075716207689005,0.11397429372675795,0.08333651001652179,0.13065936158113245,9.737863366615464,1.501192885924033,8.865768307121483,5.905815561911829
9,8,16,293.0080371492583,distal,536,18.15876691422262,18.842895089739294,1.0069524311423041,0.053439369393434126,0.03950592261820216,0.064421637200518,8.4311819318283,1.385004297229225,12.279127203601925,8.865768307121483
8,7,17,311.37413028504676,distal,573,18.36609313578845,18.13066217710654,1.0294126763253793,0.05677744509658403,0.03430470655148042,0.07640199289692338,8.201010671657121,1.0914954682540186,13.402611696846142,12.279127203601925
7,6,18,322.54925695852404,distal,590,11.175126673477298,11.95148580624937,0.965212746352124,0.08076089969059908,0.049421983660225134,0.11411270752800994,6.452467096500767,1.0865750680723814,14.56294371684829,13.402611696846142
6,5,19,332.9746439565361,distal,590,10.425386998012092,9.660868625005028,0.9560715656455159,0.09896331300592738,0.07384947961950414,0.12009458595017125,4.358722209952926,1.0497003216168952,15.286726703264394,14.56294371684829
5,4,20,347.9955882460096,distal,590,15.020944289473514,14.302905416153534,1.1318086966249588,0.07913138370800574,0.06035419742982211,0.0960583381519565,6.996399070590828,1.1112424002973234,16.987258874424715,15.286726703264394
4,3,21,366.9957681116624,distal,590,19.00017986565281,19.63021527129803,1.43781335510108,0.07324491021773731,0.05561610281964527,0.08295867353374019,7.380675256953502,1.1424448535655776,19.407006477272702,16.987258874424715
3,2,22,386.8608634968414,distal,590,19.865095385178957,19.585035198294165,0.9599946937907506,0.04901674590170587,0.03575460072366949,0.06111681308153959,6.421860825850665,1.084948965583198,21.055611602583443,19.407006477272702
2,1,23,408.3361907180144,distal,583,21.475327221173,20.911010925269082,1.0790390694067065,0.05160147796120103,0.032831514700323056,0.07051598327709047,6.946886581487107,1.0268692523953864,21.621360145072487,21.055611602583443
1,0,24,424.6417206690755,distal,583,16.305529951061104,15.844729215788432,1.054348009442975,0.06654250729588822,0.05084153924896979,0.08189879848116795,4.784147379367441,1.0780092891256865,23.30802707992004,21.621360145072487
